,Rooms,Distance,Bedroom2,Bathroom,Car,BuildingArea,Lattitude,Longtitude,Age,Price
0,2,2.5,2,1,0,79.0,-37.8079,144.9934,118,1035000
1,3,2.5,3,2,0,150.0,-37.8093,144.9944,118,1465000
2,4,2.5,3,1,2,142.0,-37.8072,144.9941,4,1600000
3,3,2.5,4,2,0,210.0,-37.8024,144.9993,108,1876000
4,2,2.5,2,1,2,107.0,-37.806,144.9954,128,1636000
5,2,2.5,3,1,2,75.0,-37.801,144.9989,118,1097000
6,3,2.5,3,2,2,190.0,-37.8085,144.9964,13,1350000
7,2,2.5,2,2,1,94.0,-37.8078,144.9965,9,750000
8,2,2.5,2,1,2,97.0,-37.809,144.9976,128,1310000
9,3,2.5,3,2,1,110.0,-37.8056,144.993,138,1200000
10,3,2.5,2,1,1,105.0,-37.8021,144.9965,128,1176500
11,2,2.5,2,1,1,73.0,-37.8011,145.0004,33,890000
12,4,2.5,4,2,2,135.0,-37.8073,144.9952,118,1330000
13,2,2.5,2,1,1,60.0,-37.8015,144.9972,48,500000
14,2,2.5,2,2,1,135.0,-37.8079,144.9977,5,1100000
15,2,2.5,2,1,0,85.0,-37.808,144.994,118,1315000
16,3,2.5,3,3,1,174.0,-37.8017,145.0001,6,1447500
17,2,2.5,2,2,2,128.0,-37.8005,144.9952,98,1135000
18,3,2.5,3,1,1,124.0,-37.8007,144.9958,68,1290000
19,1,2.5,1,1,1,50.0,-37.8055,144.9961,5,470000
20,2,2.5,2,1,0,91.0,-37.8016,144.9956,118,1180000
21,3,2.5,3,2,1,128.0,-37.8022,144.9954,20,1195000
22,2,2.5,2,1,0,82.0,-37.8021,144.9976,118,1012500
23,2,2.5,2,1,1,81.0,-37.8086,144.9946,88,1030000
24,3,13.5,3,2,1,225.0,-37.718,144.878,2,840000
25,3,13.5,3,2,1,145.0,-37.7203,144.8755,53,730000
26,3,13.5,3,2,1,145.0,-37.7203,144.8755,53,770000
27,2,13.5,2,1,1,84.0,-37.7294,144.888,68,603000
28,3,13.5,3,2,2,134.0,-37.7218,144.8837,9,700000
29,3,13.5,2,1,1,116.0,-37.7273,144.8744,38,600000
30,2,13.5,2,1,1,86.0,-37.7215,144.8864,7,500000
31,6,13.5,6,3,2,186.0,-37.7239,144.8735,38,725000
32,2,13.5,2,1,1,90.0,-37.7216,144.871,3,450000
33,2,13.5,2,1,1,73.0,-37.7298,144.8883,5,515000
34,2,13.5,2,1,1,94.0,-37.7234,144.8792,6,530000
35,3,13.5,3,1,6,133.0,-37.7249,144.8728,43,895000
36,3,13.5,3,1,1,105.0,-37.7217,144.8783,68,805000
37,3,13.5,3,1,1,130.0,-37.7302,144.8855,25,752000
38,3,13.5,3,2,2,133.0,-37.727,144.887,9,700000
39,3,13.5,3,1,2,113.0,-37.7186,144.876,58,830000
40,2,13.5,2,1,1,100.0,-37.7187,144.8765,43,675000
41,3,13.5,3,2,5,174.0,-37.7173,144.8796,68,1042000
42,4,13.5,5,3,4,309.0,-37.7263,144.8679,38,773000
43,3,13.5,3,3,2,192.0,-37.7285,144.8694,38,810000
44,3,13.5,3,2,2,126.0,-37.7164,144.8792,23,715000
45,3,13.5,2,2,1,101.0,-37.7231,144.8802,8,540000
46,3,13.5,3,2,1,102.0,-37.72,144.8776,58,825000
47,3,13.5,3,1,1,113.0,-37.7226,144.8733,43,685000
48,4,13.5,4,2,3,146.0,-37.7256,144.8739,43,900000
49,2,3.3,2,1,0,82.0,-37.8459,144.9555,118,1275000
50,3,3.3,3,2,0,198.0,-37.8481,144.9499,128,2850000
51,3,3.3,3,2,0,133.0,-37.8452,144.9488,128,1850000
52,2,3.3,2,1,0,81.0,-37.8431,144.9565,118,1436000
53,4,3.3,4,2,1,180.0,-37.8447,144.9523,138,2300000
54,3,3.3,3,2,1,159.0,-37.8415,144.952,22,1800000
55,2,3.3,2,1,1,107.0,-37.8422,144.9554,118,2120000
56,3,3.3,3,2,1,122.0,-37.8421,144.9571,118,1800000
57,3,3.3,3,2,1,181.0,-37.8415,144.9585,138,2615000
58,3,3.3,3,2,2,85.0,-37.8451,144.9511,18,1370000
59,2,3.3,2,1,0,98.0,-37.8443,144.9481,128,1322500
60,2,3.3,2,1,0,83.0,-37.8424,144.9562,128,1562500
61,3,3.3,3,2,1,147.0,-37.847,144.9575,118,2000000
62,3,3.3,3,2,0,146.0,-37.8473,144.9551,128,3010000
63,4,3.3,4,3,1,254.0,-37.8467,144.9475,108,2800000
64,3,3.3,2,1,1,123.0,-37.8427,144.9546,118,2100000
65,3,3.3,3,1,1,131.0,-37.8461,144.9528,128,2000000
66,1,3.3,1,1,0,34.0,-37.8421,144.9517,48,442500
67,4,3.3,4,2,1,207.0,-37.8477,144.9558,108,4735000
68,4,3.3,3,2,1,145.0,-37.8434,144.9495,138,2140000
69,2,3.3,2,1,0,68.0,-37.8387,144.9519,128,980000
70,3,3.3,3,2,2,134.0,-37.8448,144.9453,128,1740000
71,1,3.3,1,1,0,54.0,-37.8411,144.9497,118,985000
72,4,6.4,3,2,4,263.0,-37.7707,145.0318,88,2000000
73,4,6.4,4,2,1,203.0,-37.7717,145.031,93,1717500
74,5,6.4,5,4,4,165.0,-37.775,145.0268,108,2840000
75,2,6.4,2,1,1,60.0,-37.7791,145.0306,58,525500
76,2,6.4,2,2,3,140.0,-37.7804,145.0308,14,805000
77,4,6.4,4,2,2,112.0,-37.7743,145.0316,48,1830000
