,Rooms,Distance,Landsize,Bathroom,Car,BuildingArea,Lattitude,Longtitude,Age,Price
2,2,2.5,156.0,1.0,0.0,79.0,-37.8079,144.9934,118.0,1035000.0
4,3,2.5,134.0,2.0,0.0,150.0,-37.8093,144.9944,118.0,1465000.0
6,4,2.5,120.0,1.0,2.0,142.0,-37.8072,144.9941,4.0,1600000.0
11,3,2.5,245.0,2.0,0.0,210.0,-37.8024,144.9993,108.0,1876000.0
14,2,2.5,256.0,1.0,2.0,107.0,-37.806,144.9954,128.0,1636000.0
18,2,2.5,220.0,1.0,2.0,75.0,-37.801,144.9989,118.0,1097000.0
24,3,2.5,214.0,2.0,2.0,190.0,-37.8085,144.9964,13.0,1350000.0
25,2,2.5,0.0,2.0,1.0,94.0,-37.8078,144.9965,9.0,750000.0
30,2,2.5,238.0,1.0,2.0,97.0,-37.809,144.9976,128.0,1310000.0
32,3,2.5,113.0,2.0,1.0,110.0,-37.8056,144.993,138.0,1200000.0
35,3,2.5,138.0,1.0,1.0,105.0,-37.8021,144.9965,128.0,1176500.0
37,2,2.5,150.0,1.0,1.0,73.0,-37.8011,145.0004,33.0,890000.0
38,4,2.5,780.0,2.0,2.0,135.0,-37.8073,144.9952,118.0,1330000.0
42,2,2.5,0.0,1.0,1.0,60.0,-37.8015,144.9972,48.0,500000.0
43,2,2.5,124.0,2.0,1.0,135.0,-37.8079,144.9977,5.0,1100000.0
44,2,2.5,147.0,1.0,0.0,85.0,-37.808,144.994,118.0,1315000.0
49,3,2.5,166.0,3.0,1.0,174.0,-37.8017,145.0001,6.0,1447500.0
51,2,2.5,98.0,2.0,2.0,128.0,-37.8005,144.9952,98.0,1135000.0
56,3,2.5,168.0,1.0,1.0,124.0,-37.8007,144.9958,68.0,1290000.0
57,1,2.5,0.0,1.0,1.0,50.0,-37.8055,144.9961,5.0,470000.0
58,2,2.5,162.0,1.0,0.0,91.0,-37.8016,144.9956,118.0,1180000.0
59,3,2.5,120.0,2.0,1.0,128.0,-37.8022,144.9954,20.0,1195000.0
61,2,2.5,182.0,1.0,0.0,82.0,-37.8021,144.9976,118.0,1012500.0
63,2,2.5,172.0,1.0,1.0,81.0,-37.8086,144.9946,88.0,1030000.0
66,3,13.5,303.0,2.0,1.0,225.0,-37.718,144.878,2.0,840000.0
67,3,13.5,0.0,2.0,1.0,145.0,-37.7203,144.8755,53.0,730000.0
68,3,13.5,0.0,2.0,1.0,145.0,-37.7203,144.8755,53.0,770000.0
70,2,13.5,272.0,1.0,1.0,84.0,-37.7294,144.888,68.0,603000.0
71,3,13.5,239.0,2.0,2.0,134.0,-37.7218,144.8837,9.0,700000.0
72,3,13.5,290.0,1.0,1.0,116.0,-37.7273,144.8744,38.0,600000.0
73,2,13.5,168.0,1.0,1.0,86.0,-37.7215,144.8864,7.0,500000.0
81,6,13.5,976.0,3.0,2.0,186.0,-37.7239,144.8735,38.0,725000.0
82,2,13.5,110.0,1.0,1.0,90.0,-37.7216,144.871,3.0,450000.0
83,2,13.5,141.0,1.0,1.0,73.0,-37.7298,144.8883,5.0,515000.0
85,2,13.5,120.0,1.0,1.0,94.0,-37.7234,144.8792,6.0,530000.0
86,3,13.5,1063.0,1.0,6.0,133.0,-37.7249,144.8728,43.0,895000.0
88,3,13.5,0.0,1.0,1.0,105.0,-37.7217,144.8783,68.0,805000.0
90,3,13.5,265.0,1.0,1.0,130.0,-37.7302,144.8855,25.0,752000.0
98,3,13.5,165.0,2.0,2.0,133.0,-37.727,144.887,9.0,700000.0
100,3,13.5,971.0,1.0,2.0,113.0,-37.7186,144.876,58.0,830000.0
103,2,13.5,612.0,1.0,1.0,100.0,-37.7187,144.8765,43.0,675000.0
104,3,13.5,612.0,2.0,5.0,174.0,-37.7173,144.8796,68.0,1042000.0
106,4,13.5,531.0,3.0,4.0,309.0,-37.7263,144.8679,38.0,773000.0
108,3,13.5,555.0,3.0,2.0,192.0,-37.7285,144.8694,38.0,810000.0
109,3,13.5,422.0,2.0,2.0,126.0,-37.7164,144.8792,23.0,715000.0
112,3,13.5,161.0,2.0,1.0,101.0,-37.7231,144.8802,8.0,540000.0
113,3,13.5,293.0,2.0,1.0,102.0,-37.72,144.8776,58.0,825000.0
114,3,13.5,579.0,1.0,1.0,113.0,-37.7226,144.8733,43.0,685000.0
129,4,13.5,628.0,2.0,3.0,146.0,-37.7256,144.8739,43.0,900000.0
133,2,3.3,120.0,1.0,0.0,82.0,-37.8459,144.9555,118.0,1275000.0
135,3,3.3,211.0,2.0,0.0,198.0,-37.8481,144.9499,128.0,2850000.0
136,3,3.3,128.0,2.0,0.0,133.0,-37.8452,144.9488,128.0,1850000.0
138,2,3.3,130.0,1.0,0.0,81.0,-37.8431,144.9565,118.0,1436000.0
142,4,3.3,153.0,2.0,1.0,180.0,-37.8447,144.9523,138.0,2300000.0
145,3,3.3,132.0,2.0,1.0,159.0,-37.8415,144.952,22.0,1800000.0
147,2,3.3,199.0,1.0,1.0,107.0,-37.8422,144.9554,118.0,2120000.0
149,3,3.3,90.0,2.0,1.0,122.0,-37.8421,144.9571,118.0,1800000.0
152,3,3.3,177.0,2.0,1.0,181.0,-37.8415,144.9585,138.0,2615000.0
155,3,3.3,0.0,2.0,2.0,85.0,-37.8451,144.9511,18.0,1370000.0
159,2,3.3,149.0,1.0,0.0,98.0,-37.8443,144.9481,128.0,1322500.0
161,2,3.3,141.0,1.0,0.0,83.0,-37.8424,144.9562,128.0,1562500.0
162,3,3.3,211.0,2.0,1.0,147.0,-37.847,144.9575,118.0,2000000.0
166,3,3.3,147.0,2.0,0.0,146.0,-37.8473,144.9551,128.0,3010000.0
168,4,3.3,327.0,3.0,1.0,254.0,-37.8467,144.9475,108.0,2800000.0
172,3,3.3,120.0,1.0,1.0,123.0,-37.8427,144.9546,118.0,2100000.0
176,3,3.3,238.0,1.0,1.0,131.0,-37.8461,144.9528,128.0,2000000.0
177,1,3.3,0.0,1.0,0.0,34.0,-37.8421,144.9517,48.0,442500.0
178,4,3.3,330.0,2.0,1.0,207.0,-37.8477,144.9558,108.0,4735000.0
183,4,3.3,183.0,2.0,1.0,145.0,-37.8434,144.9495,138.0,2140000.0
186,2,3.3,79.0,1.0,0.0,68.0,-37.8387,144.9519,128.0,980000.0
191,3,3.3,147.0,2.0,2.0,134.0,-37.8448,144.9453,128.0,1740000.0
193,1,3.3,81.0,1.0,0.0,54.0,-37.8411,144.9497,118.0,985000.0
195,4,6.4,853.0,2.0,4.0,263.0,-37.7707,145.0318,88.0,2000000.0
201,4,6.4,599.0,2.0,1.0,203.0,-37.7717,145.031,93.0,1717500.0
202,5,6.4,809.0,4.0,4.0,165.0,-37.775,145.0268,108.0,2840000.0
204,2,6.4,88.0,1.0,1.0,60.0,-37.7791,145.0306,58.0,525500.0
205,2,6.4,155.0,2.0,3.0,140.0,-37.7804,145.0308,14.0,805000.0
214,4,6.4,606.0,2.0,2.0,112.0,-37.7743,145.0316,48.0,1830000.0
215,4,6.4,575.0,2.0,2.0,271.0,-37.7723,145.0319,10.0,2100000.0
216,3,6.4,180.0,1.0,1.0,131.0,-37.7802,145.0243,8.0,865000.0
217,2,6.4,0.0,1.0,1.0,60.0,-37.7773,145.0314,58.0,390000.0
219,2,6.4,0.0,1.0,1.0,61.0,-37.7805,145.0262,53.0,512000.0
226,4,6.4,556.0,2.0,2.0,272.0,-37.7844,145.0225,88.0,1900000.0
229,4,6.4,589.0,2.0,3.0,210.0,-37.7719,145.0309,98.0,1950000.0
230,3,13.8,352.0,2.0,1.0,242.0,-37.87,144.825,3.0,520000.0
231,5,13.8,729.0,3.0,3.0,268.0,-37.8721,144.8105,13.0,1525000.0
232,2,13.8,292.0,1.0,2.0,125.0,-37.8687,144.8197,5.0,720000.0
233,3,13.8,506.0,1.0,2.0,120.0,-37.8693,144.8375,88.0,1120000.0
235,4,13.8,1057.0,3.0,6.0,220.0,-37.8681,144.819,56.0,1780000.0
236,3,13.8,311.0,1.0,2.0,94.0,-37.8702,144.8143,63.0,630000.0
238,3,13.8,602.0,1.0,1.0,123.0,-37.8616,144.8116,63.0,660000.0
241,2,13.8,225.0,1.0,1.0,93.0,-37.8696,144.827,30.0,580000.0
242,3,13.8,777.0,1.0,4.0,22.0,-37.8697,144.8249,65.0,1335000.0
244,2,13.8,127.0,1.0,1.0,76.0,-37.8686,144.8182,28.0,510000.0
246,2,13.8,115.0,1.0,2.0,57.0,-37.871,144.8185,38.0,425000.0
249,2,13.8,0.0,1.0,1.0,65.0,-37.8678,144.8384,53.0,391000.0
251,4,13.8,745.0,1.0,2.0,130.0,-37.8658,144.8155,68.0,845000.0
255,3,13.8,69.0,2.0,1.0,141.0,-37.868,144.8286,4.0,730000.0
259,2,13.8,137.0,1.0,1.0,77.0,-37.8655,144.8299,28.0,447000.0
261,3,13.8,606.0,1.0,2.0,87.0,-37.8608,144.8124,68.0,678000.0
262,2,13.8,175.0,2.0,1.0,76.0,-37.8687,144.8268,5.0,580000.0
264,3,13.8,534.0,2.0,2.0,136.0,-37.86,144.8245,53.0,840000.0
269,3,13.8,205.0,2.0,1.0,113.0,-37.8684,144.815,11.0,577000.0
276,2,13.8,675.0,2.0,1.0,100.0,-37.8653,144.8129,68.0,857000.0
278,3,13.8,70.0,2.0,1.0,3.0,-37.868,144.8285,4.0,730000.0
282,2,13.8,154.0,1.0,1.0,91.0,-37.8646,144.8272,22.0,535600.0
284,5,11.1,592.0,3.0,6.0,251.0,-37.8388,144.8567,53.0,1085000.0
285,3,11.1,533.0,1.0,2.0,117.0,-37.8291,144.835,48.0,781000.0
289,2,11.1,77.0,1.0,1.0,77.0,-37.8351,144.8529,9.0,421000.0
292,3,11.1,534.0,1.0,2.0,167.0,-37.8284,144.8355,51.0,683000.0
295,3,11.1,0.0,2.0,1.0,130.0,-37.8379,144.8583,6.0,720000.0
299,3,11.1,328.0,1.0,1.0,118.0,-37.838,144.8555,48.0,588000.0
301,3,11.1,540.0,1.0,3.0,116.0,-37.8294,144.8378,58.0,710000.0
306,4,11.1,559.0,1.0,4.0,169.0,-37.8448,144.8529,53.0,875000.0
321,3,11.1,171.0,2.0,2.0,109.0,-37.8337,144.8554,6.0,675000.0
322,3,11.1,585.0,1.0,2.0,97.0,-37.8258,144.8523,58.0,708000.0
339,4,11.1,315.0,2.0,4.0,170.0,-37.8391,144.8467,10.0,693000.0
340,3,11.1,276.0,2.0,2.0,100.0,-37.8262,144.8443,8.0,620000.0
342,3,11.1,531.0,1.0,1.0,157.0,-37.8277,144.8385,58.0,728500.0
343,3,11.1,590.0,2.0,1.0,160.0,-37.8382,144.8649,68.0,931000.0
349,3,11.1,555.0,2.0,3.0,130.0,-37.8318,144.8388,58.0,815000.0
356,4,11.1,633.0,1.0,4.0,158.0,-37.8375,144.8541,58.0,1200000.0
361,2,11.1,153.0,1.0,1.0,70.0,-37.8332,144.8649,48.0,292000.0
365,2,6.3,0.0,1.0,1.0,76.0,-37.8543,145.0262,54.0,599000.0
367,3,6.3,0.0,2.0,2.0,100.0,-37.8552,145.016,20.0,995000.0
368,3,6.3,101.0,2.0,2.0,105.0,-37.854,145.0135,18.0,1205000.0
371,3,6.3,296.0,2.0,2.0,150.0,-37.8614,145.0274,129.0,1939000.0
375,3,6.3,217.0,1.0,1.0,116.0,-37.8592,145.0182,130.0,1870000.0
380,3,6.3,0.0,2.0,2.0,165.0,-37.8537,145.0267,23.0,1918000.0
383,3,6.3,205.0,2.0,1.0,116.0,-37.8574,145.0281,108.0,2050000.0
392,3,6.3,2113.0,2.0,1.0,14.0,-37.8543,145.0262,48.0,735000.0
400,1,6.3,144.0,2.0,1.0,107.0,-37.8564,145.0228,118.0,1435000.0
402,1,6.3,0.0,1.0,1.0,38.0,-37.8619,145.0185,43.0,280000.0
407,2,6.3,0.0,1.0,1.0,73.0,-37.8574,145.0174,48.0,592500.0
409,2,6.3,249.0,1.0,0.0,96.0,-37.8543,145.016,108.0,1210000.0
410,4,6.3,624.0,2.0,2.0,222.0,-37.8536,145.0173,118.0,2801000.0
416,3,6.3,405.0,2.0,2.0,121.0,-37.8545,145.0145,108.0,1800000.0
418,4,6.3,495.0,1.0,2.0,163.0,-37.8613,145.0264,118.0,2200000.0
426,6,6.3,1491.0,3.0,4.0,516.0,-37.8602,145.013,83.0,5525000.0
432,1,6.3,0.0,1.0,1.0,53.0,-37.8531,145.0115,48.0,440000.0
438,3,6.3,212.0,1.0,2.0,106.0,-37.8542,145.0149,118.0,1300000.0
441,2,6.3,0.0,1.0,1.0,74.0,-37.8573,145.0186,49.0,704000.0
444,2,6.3,0.0,1.0,1.0,98.0,-37.8596,145.0198,48.0,620000.0
445,3,6.3,328.0,1.0,2.0,108.0,-37.8559,145.0158,118.0,1900000.0
453,2,6.3,2471.0,1.0,1.0,80.0,-37.8573,145.0186,48.0,710000.0
455,2,6.3,0.0,1.0,1.0,88.0,-37.8593,145.0156,48.0,598000.0
457,3,6.3,186.0,1.0,2.0,80.0,-37.8554,145.0173,98.0,1285000.0
461,2,6.3,0.0,1.0,1.0,76.0,-37.8618,145.0183,48.0,520000.0
465,4,6.3,709.0,1.0,2.0,251.0,-37.8574,145.016,118.0,3625000.0
466,4,6.3,563.0,3.0,3.0,333.0,-37.8582,145.0138,18.0,4200000.0
467,3,6.3,103.0,1.0,2.0,3.0,-37.8542,145.0135,18.0,1101000.0
468,3,6.3,617.0,2.0,2.0,285.0,-37.8557,145.0264,20.0,3512500.0
473,3,6.3,0.0,1.0,1.0,91.0,-37.853,145.0264,78.0,869000.0
480,1,6.3,0.0,1.0,1.0,53.0,-37.8549,145.0113,5.0,567000.0
486,3,5.9,298.0,1.0,2.0,108.0,-37.7777,144.9195,98.0,940000.0
487,2,5.9,0.0,1.0,1.0,62.0,-37.7761,144.9201,38.0,467000.0
490,3,5.9,277.0,2.0,2.0,174.0,-37.7777,144.9221,108.0,1380000.0
491,2,5.9,423.0,1.0,1.0,62.0,-37.7736,144.9015,48.0,490000.0
492,4,5.9,478.0,3.0,1.0,270.0,-37.7729,144.9179,118.0,1850000.0
494,3,5.9,285.0,2.0,2.0,128.0,-37.775,144.9091,118.0,971000.0
495,2,5.9,214.0,1.0,1.0,77.0,-37.7776,144.9142,128.0,710000.0
496,6,5.9,1014.0,3.0,2.0,435.0,-37.7721,144.9184,131.0,2425000.0
497,2,5.9,226.0,1.0,1.0,92.0,-37.7745,144.9093,98.0,750000.0
499,2,5.9,269.0,1.0,1.0,109.0,-37.7748,144.929,118.0,1053000.0
500,3,5.9,417.0,1.0,1.0,168.0,-37.7756,144.9208,118.0,1377000.0
501,3,5.9,350.0,1.0,2.0,125.0,-37.7759,144.91,114.0,970000.0
503,2,5.9,118.0,1.0,1.0,79.0,-37.7807,144.9288,128.0,751000.0
504,2,5.9,173.0,1.0,1.0,102.0,-37.7731,144.9206,118.0,950000.0
506,2,5.9,228.0,1.0,2.0,90.0,-37.7718,144.9066,23.0,685000.0
508,3,5.9,594.0,1.0,2.0,148.0,-37.7819,144.9064,58.0,1230000.0
512,2,5.9,226.0,1.0,1.0,87.0,-37.7774,144.9186,118.0,770000.0
515,4,5.9,300.0,1.0,1.0,185.0,-37.7766,144.9143,128.0,890000.0
519,3,5.9,487.0,1.0,1.0,131.0,-37.7725,144.9146,118.0,1440000.0
525,3,5.9,440.0,2.0,2.0,120.0,-37.7746,144.9031,63.0,1000000.0
526,3,5.9,532.0,2.0,2.0,147.0,-37.7737,144.904,68.0,1435000.0
527,1,5.9,0.0,1.0,1.0,58.0,-37.7723,144.9094,46.0,390000.0
528,3,5.9,495.0,2.0,2.0,139.0,-37.7821,144.9055,98.0,1425000.0
530,4,5.9,683.0,2.0,2.0,232.0,-37.775,144.93200000000002,40.0,1340000.0
531,3,5.9,263.0,1.0,1.0,117.0,-37.7753,144.9116,108.0,955000.0
533,4,5.9,559.0,2.0,5.0,195.0,-37.7791,144.9136,98.0,1100000.0
536,2,5.9,0.0,1.0,1.0,62.0,-37.773,144.9303,40.0,432000.0
537,4,5.9,562.0,3.0,2.0,204.0,-37.782,144.903,128.0,1640000.0
538,6,5.9,461.0,2.0,1.0,286.0,-37.78,144.9295,118.0,1430000.0
539,2,5.9,301.0,1.0,1.0,104.0,-37.7791,144.914,23.0,610000.0
540,3,5.9,491.0,3.0,1.0,127.0,-37.7727,144.9136,68.0,940000.0
541,3,5.9,242.0,1.0,1.0,110.0,-37.7765,144.9114,98.0,890000.0
543,3,5.9,617.0,2.0,2.0,149.0,-37.7742,144.906,88.0,1180000.0
544,4,5.9,597.0,2.0,2.0,180.0,-37.7757,144.9088,79.0,1480000.0
548,2,5.9,146.0,2.0,1.0,132.0,-37.7713,144.9038,3.0,865000.0
550,2,5.9,0.0,1.0,1.0,62.0,-37.7733,144.9219,43.0,442000.0
552,3,5.9,506.0,1.0,2.0,110.0,-37.7779,144.9133,98.0,1037500.0
553,3,5.9,318.0,2.0,2.0,160.0,-37.7744,144.9035,5.0,1050000.0
555,2,5.9,0.0,1.0,1.0,65.0,-37.7749,144.9137,48.0,440000.0
